"ADRESA","ADRESARAW","LOCALITATE","NUME"
"strada buzeşti, nr. 63-69, bl.a3, et. 1, ap. 1, sector 1","STR. BUZEŞTI, NR. 63-69, BL.A3, ET. 1, AP. 1, SECTOR 1","BUCUREŞTI","MRAD JANETA"
"strada trandafirilor, nr. 20, jud. alba","STR. TRANDAFIRILOR, NR. 20, JUD. ALBA","ALBA IULIA","MUCEA COSMINA-DUMITRIŢA"
"strada mileniului nr. 20","STR. MILENIULUI NR. 20","SATU MARE","MULLER ENIKO-GABRIELA"
"bulevardul take ionescu nr. 22, ap. 2, parter","BD. TAKE IONESCU NR. 22, AP. 2, PARTER","TIMIŞOARA","MUNTEAN ALEXANDRA-COSMINA"
"eugeneral iu de savoya, nr.4","EUGENIU DE SAVOYA, Nr.4","TIMISOARA","MUNTEAN DORINA LUCREŢIA"
"strada târgului, nr. 7b, ap. 1, jud. maramureş","STR. TÂRGULUI, NR. 7B, AP. 1, JUD. MARAMUREŞ","ŞOMCUTA MARE","MUNTEANU CLAUDIU"
"tudor vladimirescu, bl.r2, sc.b, ap.1","TUDOR VLADIMIRESCU, Bl.R2, Sc.B, Ap.1","DRAGASANI","MUNTEANU DANIELA-ILEANA"
"targului, nr.7b, ap.1, jud. maramureş","Targului, Nr.7B, Ap.1, JUD. MARAMUREŞ","ŞOMCUTA-MARE","MUNTEANU IOAN"
"strada oţelarilor, nr.33, ","STR. OŢELARILOR, NR.33, ","GALAŢI","MUNTEANU MIHAELA-IULIANA"
"micro 19, strada oţelarilor, zona bl. p1, jud. ","MICRO 19, STR. OŢELARILOR, ZONA BL. P1, JUD. GALAŢI","GALAŢI","MUNTEANU MIHAELA-IULIANA"
"strada oituz, nr.17","str. Oituz, Nr.17","BACAU","MUNTEANU RALUCA ELENA"
"strada revoluţiei, nr. 4, jud. vrancea","STR. REVOLUŢIEI, NR. 4, JUD. VRANCEA","ADJUD","MUNTEANU SIMONA DANIELA"
"bulevardul republicii, nr.19, ap.22","B-dul REPUBLICII, Nr.19, Ap.22","ONESTI","MUNTEANU VASILE"
"soseaua nicolina, nr.1, bl. 928, tronson b, parter","ŞOS. NICOLINA, NR.1, BL. 928, TRONSON B, PARTER","IASI","MURĂRAŞU COZMA ELENA"
"strada republicii nr. 11, ap. 4, jud. cluj","STR. REPUBLICII NR. 11, AP. 4, JUD. CLUJ","CLUJ-NAPOCA","MUREŞAN DORINA-AURORA-SILVIA"
"strada traian, nr. 3, jud. arad","STR. TRAIAN, NR. 3, JUD. ARAD","INEU","MUREŞAN DORINA-AURORA-SILVIA"
"calea dorobanţilor, nr.25, ap.36","CALEA DOROBANŢILOR, Nr.25, Ap.36","CLUJ-NAPOCA","MUREŞAN ELENA"
"strada republicii, nr.19, ap. 2","STR. REPUBLICII, Nr.19, AP. 2","ORADEA","MUREŞAN VOICHITA"
"strada română nr. 10, bl.e1, sc. 1, ap. 1, parter jud. ","STR. ROMÂNĂ NR. 10, BL.E1, SC. 1, AP. 1, PARTER JUD. GALAŢI","GALAŢI","MURGU MIHAELA-ELENA"
"strada vasile lascăr nr. 187, sector 2","STR. VASILE LASCĂR NR. 187, SECTOR 2","BUCUREŞTI","MUŞAT MANUELA-ANTONIA"
"bulevardul carol i, nr. 73, bl. r55, parter, jud. prahova","B-DUL CAROL I, NR. 73, BL. R55, PARTER, JUD. PRAHOVA","CÂMPINA","MUŞAT MĂRGĂRIT"
"bulevardul carol i, nr. 73, bl. r55, parter","B-DUL CAROL I, NR. 73, BL. R55, PARTER","CÂMPINA","MUŞAT ROXANA-ANDREEA"
"piaţa libertăţii nr. 18","PIAŢA LIBERTĂŢII NR. 18","BARAOLT","NAGY ATILLA IGNÁCZ"
"strada bolyai farkas, nr.40, jud. mureş","STR. BOLYAI FARKAS, Nr.40, JUD. MUREŞ","TÂRGU MUREŞ","NAGY GABRIELLA "
"bulevardul revoluţiei nr. 1-3, bl. h, sc. b, ap. 1","BLD. REVOLUŢIEI NR. 1-3, BL. H, SC. B, AP. 1","ARAD","NAGY MANUELA-CRISTINA"
"nr. 166 b","NR. 166 B","LIVADA","NAGY MANUELA-CRISTINA"
"strada cuza vodă nr. 1, parter ","STR. CUZA VODĂ NR. 1, PARTER ","SLOBOZIA","NAIDIN ANA-MARIA"
"strada marchian nr. 2, bl. f2, sc. b, parter","STR. MARCHIAN NR. 2, BL. F2, SC. B, PARTER","BOTOŞANI","NASTASĂ ALEXANDRU"
"brailei, nr.140, bl.m","BRAILEI, Nr.140, Bl.M","GALATI","NAZARE MANDIŢA"
"brăilei nr.140","Brăilei nr.140","GALATI","NĂZARE MIRCEA"
"bulevardul independentei, bl.110d","bd.INDEPENDENTEI, Bl.110D","GIURGIU","NEAGOE MIHAELA"
"strada a.i. cuza nr. 9, bl. 156, parter","STR. A.I. CUZA NR. 9, BL. 156, PARTER","CRAIOVA","NEAGOE MONICA"
"bulevardul i.c. brătianu bl. a1b, sc. b, ap. 1, parter","BD. I.C. BRĂTIANU BL. A1B, SC. B, AP. 1, PARTER","TÂRGOVIŞTE","NEAGU DENISA-MARILENA"
"avram iancu, nr.15","AVRAM IANCU, Nr.15","FĂGET","NEAGU IOAN"
"bulevardul 16 decembrie 1989, nr. 54, ap. 2","B-DUL 16 DECEMBRIE 1989, NR. 54, AP. 2","TIMIŞOARA","NEAGU IULIA-OANA"
"strada tudor vladimirescu, bl. d2, jud. dâmboviţa","STR. TUDOR VLADIMIRESCU, BL. D2, JUD. DÂMBOVIŢA","TÂRGOVIŞTE","NEAGU NICULINA"
"p-ţa traian vuia, bl. 1, sc. 1, parter, ap. 3-4","P-ŢA TRAIAN VUIA, BL. 1, SC. 1, PARTER, AP. 3-4","RESITA","NEAMŢU CORNELIA"
"strada republicii, nr. 92, jud. vrancea","STR. REPUBLICII, NR. 92, JUD. VRANCEA","FOCŞANI","NEAMŢU ECATERINA"
"piaţa unirii nr. 6, ap. 3a, jud. timiş","PIAŢA UNIRII NR. 6, AP. 3A, JUD. TIMIŞ","TIMISOARA","NEBELA ADRIANA-MARIA"
"strada piaţa unirii nr. 6, ap. 3a, camerele 26 şi 29","STR. PIAŢA UNIRII NR. 6, AP. 3A, CAMERELE 26 ŞI 29","TIMIŞOARA","NEBELA SILVIA"
"strada ştefan cel mare, nr. 47, sc. a, ap. 1","STR. ŞTEFAN CEL MARE, NR. 47, SC. A, AP. 1","SUCEAVA","NECHITA RALUCA"
"strada gh. gr. cantacuzino nr. 16b","STR. GH. GR. CANTACUZINO NR. 16B","PLOIEŞTI","NECULAE AURELIAN"
"strada dobrogeanu gherea nr. 22","STR. DOBROGEANU GHEREA NR. 22","ROMAN","NECULAI ANDREEA"
"bulevardul dacia, nr. 100, sector 2","B-DUL DACIA, NR. 100, SECTOR 2","BUCUREŞTI","NEDELCU CRIŞAN-TRAIAN"
"strada transilvaniei nr. 4, bl. f9, sc. d, ap. 4","STR. TRANSILVANIEI NR. 4, BL. F9, SC. D, AP. 4","ORADEA","NEGRĂU ANDREA-MONIKA"
"calea vitan, nr.108, bl.v35, sc.2, ap.37, sectorul 3","Calea Vitan, Nr.108, Bl.V35, Sc.2, Ap.37, Sectorul 3","BUCURESTI","NEGRILĂ DANIELA "
"bulevardul muşat, bl. 38, sc. d, ap. 87, jud. neamţ","B-DUL ROMAN MUŞAT, BL. 38, SC. D, AP. 87, JUD. NEAMŢ","ROMAN","NEGRU AURICA"
"bulevardul muşat, bl. 38, sc. d, ap. 87-88","BLD. ROMAN MUŞAT, BL. 38, SC. D, AP. 87-88","ROMAN","NEGRU AURICA"
"strada carol i, nr. 15, bl. argeş","STR. CAROL I, NR. 15, BL. ARGEŞ","RÂMNICU VÂLCEA","NEGRU RADU"
"strada hristo botev, nr.1, sectorul 3","STR. Hristo Botev, Nr.1, Sectorul 3","BUCURESTI","NEGULESCU ANCA IULIA"
"strada mărăşeşti, nr. 3, bl. b1, sc. a, ap. 4","STR. MĂRĂŞEŞTI, NR. 3, BL. B1, SC. A, AP. 4","SUCEAVA","NEGURĂ ADINA-LOREDANA"
"strada sfînta vineri nr. 5, et. 2, ap. 7 şi 8, sector 3","STR. SFÎNTA VINERI NR. 5, ET. 2, AP. 7 ŞI 8, SECTOR 3","BUCUREŞTI","NICA ADRIANA"
"strada t.vladimirescu, nr.57, bl.t4, sc. 2, mezanin, sectorul 5","STR.T.VLADIMIRESCU, Nr.57, Bl.T4, SC. 2, MEZANIN, Sectorul 5","BUCURESTI","NICA BABALÎC MARIA"
"strada nicolae titulescu, nr. 69, bl. a1, parter","STR. NICOLAE TITULESCU, NR. 69, BL. A1, PARTER","PANCIU","NICA MARGARETA"
"strada nicolae titulescu, nr. 69, bl. a1, parter, jud. vrancea","STR. NICOLAE TITULESCU, NR. 69, BL. A1, PARTER, JUD. VRANCEA","PANCIU","NICA NICOLAE-CIPRIAN"
"bulevardul carol i nr. 3b, bl. 3b, parter","BLD. CAROL I NR. 3B, BL. 3B, PARTER","CÂMPINA","NICA ROXANA-ELENA"
"strada tudor vladimirescu, nr. 57, bl. t4, sc. 2, mezanin, sector 5","STR. TUDOR VLADIMIRESCU, NR. 57, BL. T4, SC. 2, MEZANIN, SECTOR 5","BUCURESTI","NICA-BĂBĂLÎC ALIN-MARIAN"
"principala, nr.2095","Principala, Nr.2095","LIESTI","NICOARĂ MIRCEA CRISTIAN"
"strada prelungirea bucureşti nr. 47","STR. PRELUNGIREA BUCUREŞTI NR. 47","ALEXANDRU ODOBESCU","NICOLAE LEONARDO-GABRIEL"
"strada românia muncitoare nr.15","STR. ROMÂNIA MUNCITOARE Nr.15","CRAIOVA","NICU FLORIN-MARCEL"
"piaţa alba iulia, nr.1, bl. h1, sc.5, et.2, ap. 138, sector 3","PIAŢA ALBA IULIA, NR.1, BL. H1, SC.5, ET.2, AP. 138, SECTOR 3","BUCURESTI","NICULESCU ALICE-NICOLETA"
"bulevardul ferdinand nr. 17,parter, corp a","B-DUL FERDINAND NR. 17,PARTER, CORP A","CONSTANŢA","NICULESCU OLGA"
"bulevardul independenţei nr. 10/58, jud. maramureş","B-DUL INDEPENDENŢEI NR. 10/58, JUD. MARAMUREŞ","BAIA MARE","NICULESCU-ŢÂGÂRLAŞ PETRINA-CONSUELA"
"strada biruintei, nr.1","STR. BIRUINTEI, Nr.1","PANTELIMON","NINU VIORICA ROXANA"
"strada general eral vasile milea, bl. 11, ap. 18","STR. G-RAL VASILE MILEA, BL. 11, AP. 18","SIBIU","NISTOR ANA-CORINA"
"sat -gară, în incinta consiliului local","SAT SĂRULEŞTI-GARĂ, ÎN INCINTA CONSILIULUI LOCAL","SĂRULEŞTI","NISTOR FLORIAN"
"strada circumvalaţiunii, nr. 32, ap. 2","STR. CIRCUMVALAŢIUNII, NR. 32, AP. 2","TIMIŞOARA","NISTOR IULIA"
"bulevardul republicii, bl. 1, sc. 2, ap. 19","B-DUL REPUBLICII, BL. 1, SC. 2, AP. 19","TARGU-JIU","NISTORESCU NEACŞA"
"bulevardul traian nr. 80, bl. h3, ap. 48","B-DUL TRAIAN NR. 80, BL. H3, AP. 48","PIATRA NEAMŢ","NIŢĂ ELENA-LAURA"
"strada tudor vladimirescu,nr. 1/a","STR. TUDOR VLADIMIRESCU,NR. 1/A","NEGREŞTI OAŞ","NIŢĂ GABRIELA"
"bulevardul ghence nr. 43b, et. 1, camera1, sector 6","B-DUL GHENCE NR. 43B, ET. 1, CAMERA1, SECTOR 6","BUCUREŞTI","NIŢĂ IONELA-ALINA"
"strada zorelelor nr.4","STR. ZORELELOR NR.4","CHIAJNA","NIŢESCU -ŢUREA ELENA-MONICA"
"strada eroilor, nr. 27","STR. EROILOR, NR. 27","URZICENI","NIŢU CRISTINA-EMILIA"
"nr. 162","NR. 162","FIERBINŢI","NIŢU CRISTINA-EMILIA"
"bulevardul victoriei, nr.19, jud. ","B-dul VICTORIEI, Nr.19, JUD. SIBIU","SIBIU","NOVAC CRISTINA-MARIA"
"strada republicii nr. 63-65","STR. REPUBLICII NR. 63-65","CASTELU","NURCIU ELENA RALUCA"
"lt. av. ghe. negel, nr. 29, parter, sect. 6","LT. AV. GHE. NEGEL, NR. 29, PARTER, SECT. 6","BUCUREŞTI","NURCIU MARIANA"
"strada ana ipătescu nr. 168a, jud. dâmboviţa","STR. ANA IPĂTESCU NR. 168A, JUD. DÂMBOVIŢA","RĂCARI","NUŢĂ ANA"
"strada avram iancu, nr. 4, jud. mureş","STR. AVRAM IANCU, NR. 4, JUD. MUREŞ","IERNUŢ","NYARADI DANIELA"
"strada iuliu maniu, nr. 13","STR. IULIU MANIU, NR. 13","AIUD","NYARI -FAUR ANDREEA MIHAELA"
"strada atomiştilor nr. 236 (fost 98), bl. b17, sc.a, parter, ap. 2","STR. ATOMIŞTILOR NR. 236 (FOST 98), BL. B17, SC.A, PARTER, AP. 2","MĂGURELE","OANCEA DANA-ALEXANDRA"
"strada parcul traian, nr.11","STR. Parcul Traian, Nr.11","ORADEA","OCHIŞ LUCIA-DOINA"
"strada snagovului, nr.5","STR.Snagovului, Nr.5","ORADEA","OGĂŞANU DAN-DUMITRU"
"n.iorga, nr.2, bl.3, sc.j, ap.2","N.IORGA, Nr.2, Bl.3, Sc.J, Ap.2","SFINTU GHEORGHE","OLARIU GYONGYIKE"
"bulevardul republicii, nr. 19, sc. b, parter, ap. 22","BLD. REPUBLICII, NR. 19, SC. B, PARTER, AP. 22","ONESTI","OLARU AURELIAN ROMEO"
"strada radu cel frumos, nr.1, et. 1","STR. RADU CEL FRUMOS, NR.1, ET. 1","PITEŞTI","OLARU ELENA"
"bulevardul unirii, nr. 78, bl. j2, sc.2, et. 1, ap. 35, sector 3","B-DUL UNIRII, NR. 78, BL. J2, SC.2, ET. 1, AP. 35, SECTOR 3","BUCUREŞTI","OLARU IOANA"
"calea dorobanţilor nr. 111-135, bl. 9a, sc. g, et. 1, ap. 219, sector 1","CALEA DOROBANŢILOR NR. 111-135, BL. 9A, SC. G, ET. 1, AP. 219, SECTOR 1","BUCUREŞTI","OLARU IOANA"
"strada mircea cel bătrân nr. 15, c2, et. 1, ap. 4, jud. ilfov","STR. MIRCEA CEL BĂTRÂN NR. 15, C2, ET. 1, AP. 4, JUD. ILFOV","VOLUNTARI","OLTEANU OANA"
"strada republicii nr. 1, jud. prahova","STR. REPUBLICII NR. 1, JUD. PRAHOVA","COMARNIC","ONEA LUCIA"
"strada cuza vodă, nr.9, ","STR. CUZA VODĂ, Nr.9, ","TÂRGU MURES","ONEA-GAŞPAR VICTOR-DUMITRU"
"strada păcii, nr. 1, sc. ii, ap. 2, jud. caraş severin","STR. PĂCII, NR. 1, SC. II, AP. 2, JUD. CARAŞ SEVERIN","RESITA","ONOFREI CAMELIA RAMONA"
"strada baba novac nr. 7, bl. m2, sc. c, parter, ap. 24, sector 3","STR. BABA NOVAC NR. 7, BL. M2, SC. C, PARTER, AP. 24, SECTOR 3","BUCURESTI","OPRAN IOANA MIHAELA"
"cal.griviţei, nr.148, sc.a, ap.3, sectorul 1","CAL.GRIVIŢEI, Nr.148, Sc.A, Ap.3, Sectorul 1","BUCURESTI","OPREA ALEXANDRA RODICA"
"strada principală nr. 130","STR. PRINCIPALĂ NR. 130","DRAGOMIREŞTI","OPREA ANCA-ALEXANDRA"
"bulevardul unirii nr. 43, bl. e2, parter, sector 3","BLD. UNIRII NR. 43, BL. E2, PARTER, SECTOR 3","BUCUREŞTI","OPREA BIANCA-ALINA"
"focşani, strada alex. vlahuţă, nr. 21, ap.3","FOCŞANI, STR. ALEX. VLAHUŢĂ, NR. 21, AP.3","FOCSANI","OPREA MARIA"
"strada bucegi nr. 5, bl. 5, parter, ap. 3","STR. BUCEGI NR. 5, BL. 5, PARTER, AP. 3","FOCŞANI","OPREA MIHAELA"
"strada c. brătescu nr. 10a, parter","STR. C. BRĂTESCU NR. 10A, PARTER","CONSTANŢA","OPRESCU ADELA"
"decebal, nr.5","DECEBAL, Nr.5","ORSOVA","OPRISOR DUMITRU"
"bulevardul unirii, nr. 30, parter, tronson a-b 2-3","BLD. UNIRII, NR. 30, PARTER, TRONSON A-B 2-3","BACĂU","OPRIŞ MIRELA"
"strada avram iancu, bl. h1, parter, jud. hunedoara","STR. AVRAM IANCU, BL. H1, PARTER, JUD. HUNEDOARA","DEVA","OPRUŢA TATIANA"
" bulevardul tomis nr. 42"," B-DUL TOMIS NR. 42","CONSTANŢA","ORBAN STELUŢA -DANIELA "
"22 decembrie, bl. d 2, sc.a, et. 1, ap. 2, jud. hunedoara","22 DECEMBRIE, BL. D 2, SC.A, ET. 1, AP. 2, JUD. HUNEDOARA","DEVA","ORŞA ANA"
"bulevardul 22 decembrie, nr. 63a","BLD. 22 DECEMBRIE, NR. 63A","DEVA","ORŞA MARIUS"
"suhurlui, nr.2","Suhurlui, Nr.2","PECHEA","OSTACHE CARMEN-ELIZA"
"strada libertăţii nr. 12, bl. 2, sc. d, parter","STR. LIBERTĂŢII NR. 12, BL. 2, SC. D, PARTER","COVASNA","PÁL KATALIN"
"strada arad nr. 6, bl. ps13b, sc. 3, parter, ap. 75","STR. ARAD NR. 6, BL. PS13B, SC. 3, PARTER, AP. 75","GALAŢI","PALADI GINA"
"strada petru rareş, bl. c1, ap. 3, parter","STR. PETRU RAREŞ, BL. C1, AP. 3, PARTER","TÎRGU FRUMOS","PALALOGA RALUCA-ANDREEA "
"nuferilor, nr.15, bl.d136, ap.3","Nuferilor, Nr.15, Bl.D136, Ap.3","ORADEA","PANA FLORIN"
"strada mihail săulescu nr. 30","STR. MIHAIL SĂULESCU NR. 30","PREDEAL","PANAIT ANDREEA-MARIA"
"strada nufărului, nr. 23, bl. d130,ap.1","STR. NUFĂRULUI, NR. 23, BL. D130,AP.1","ORADEA","PANĂ FLORIN"
"strada tudor vladimirescu, nr.2","STR.TUDOR VLADIMIRESCU, Nr.2","MARGHITA","PANĂ PETRE"
"strada ceahlău, nr. 10, bl. 28, sc. 1, ap. 1, sectorul 6","STR. CEAHLĂU, NR. 10, BL. 28, SC. 1, AP. 1, SECTORUL 6","BUCURESTI","PANĂ RUXANDRA MIHAELA"
"bulevardul 15 noiembrie, nr.75, sc.a, ap.3","B-dul 15 Noiembrie, Nr.75, Sc.A, Ap.3","BRASOV","PANĂ STEFAN"
"bulevardul alexandru ioan cuza nr. 103","B-DUL ALEXANDRU IOAN CUZA NR. 103","BRĂILA","PANĂ-IVAN ELENA-ADELINA"
"strada matei corvin, nr.4, ap. 5","STR. MATEI CORVIN, NR.4, AP. 5","TIMISOARA","PANDURU IOSIF VIOREL"
"strada anastasie panu, nr. 27, bl. moldova, parter, jud. ","STR. ANASTASIE PANU, NR. 27, BL. MOLDOVA, PARTER, JUD. IAŞI","IAŞI","PANTILIMON-TATARU MARIA-PAULA"
"popa sapca, bl.6, sc.b, ap.3","POPA SAPCA, Bl.6, Sc.B, Ap.3","CRAIOVA","PAPA EUGENIA"
"strada jean louis calderon, nr. 1-5,sc.1, ap. 21, et.5, sector 2","STR. JEAN LOUIS CALDERON, NR. 1-5,SC.1, AP. 21, ET.5, SECTOR 2","BUCURESTI","PAPINIU ANDREEA ALEXANDRA"
"strada trandafirilor nr. 10, bl. 13, sc. b, ap. 2","STR. TRANDAFIRILOR NR. 10, BL. 13, SC. B, AP. 2","TIRGU SECUIESC","PAPP IBOLYA"
"strada general eral magheru, nr. 30","STR. GENERAL MAGHERU, NR. 30","RM. VÂLCEA","PARASCHIV DANIEL-ŞTEFAN"
"general eral magheru, nr.30","General Magheru, Nr.30","RM. VÂLCEA ","PARASCHIV ELENA"
"unirii, nr.1, sc.b, ap.1","UNIRII, Nr.1, Sc.B, Ap.1","FAGARAS","PAVĂL DOINA"
"strada gării, nr. 10, mezanin","STR. GĂRII, NR. 10, MEZANIN"," IAŞI","PAVEL CORINA"
"strada republicii nr. 1","STR. REPUBLICII NR. 1","VATRA DORNEI","PAZIUC CAMELIA"
"strada 85 infanterie nr.21","STR. 85 Infanterie Nr.21","ŞIRIA","PĂCURARIU RADIANA ANETA"
"strada republicii, bl. 19, et. 1","STR. REPUBLICII, BL. 19, ET. 1","BRAD","PĂDURARIU IOANA-TEODORA"
"strada drumul taberei nr. 85, bl. ts8, sc. 1, ap. 5, parter, sector 6","STR. DRUMUL TABEREI NR. 85, BL. TS8, SC. 1, AP. 5, PARTER, SECTOR 6","BUCUREŞTI","PĂDURARU LARISSA-ANDRADA"
"bulevardul eroilor, nr. 42, ap. 5, jud. cluj","B-DUL EROILOR, NR. 42, AP. 5, JUD. CLUJ","CLUJ-NAPOCA","PĂDUREAN ANA-VALERIA"
"eroilor, nr.1","EROILOR, Nr.1","TIRGU JIU","PĂRĂU CLAUDIA RADIŢA"
"mircea cel batran, nr.86, bl.mf2, sc.a, ap.3","MIRCEA CEL BATRAN, Nr.86, Bl.MF2, Sc.A, Ap.3","CONSTANTA","PĂTRAŞCU IOAN - GABRIEL"
"strada crişan nr.76-78","STR. CRIŞAN NR.76-78","DROBETA TURNU SEVERIN","PĂTRAŞCU MARIANA-VIOLETA"
"bulevardul cosminului, bl.u.28, sc.a, ap.3","B-dul Cosminului, Bl.U.28, Sc.A, Ap.3","SLOBOZIA","PĂUN MARIANA"
"strada unirii, bl. 29a, parter, ap. 0","STR. UNIRII, BL. 29A, PARTER, AP. 0","BUZĂU","PĂUN NICOLAE"
"strada cetatea turnu, nr.16","STR. CETATEA TURNU, Nr.16","TURNU MAGURELE","PĂUN PICU"
"strada regele ferdinand nr. 21","str. REGELE FERDINAND NR. 21","CLUJ-NAPOCA","PĂUŞAN  DELIA"
"strada republicii nr. 120","STR. REPUBLICII NR. 120","RUPEA","PELEI GABRIELA"
"bulevardul bucovina nr.3, bl. 18, sc. b, ap.3","BLD. BUCOVINA NR.3, BL. 18, SC. B, AP.3","GURA HUMORULUI","PELEPCO LĂCĂRMIOARA-GABRIELA"
"strada republicii nr.28","STR. REPUBLICII NR.28","VALEA LUI MIHAI","PENEŞ IOANA-CRISTINA"
"strada nicolina nr. 2, bl. c-7, parter","STR. NICOLINA NR. 2, BL. C-7, PARTER","IAŞI","PETCU ANCUŢA"
"calarasi, bl.10, sc.b, ap.7","CALARASI, Bl.10, Sc.B, Ap.7","FETEŞTI","PETCU LAURA INGRID"
"strada republicii, bl. b4, parter","STR REPUBLICII, BL. B4, PARTER","BOLINTIN VALE","PETCU MARIUS"
"strada foişorului,nr. 5, bl. f4c,sc.1, ap. 2,parter, sector 3","STR. FOIŞORULUI,NR. 5, BL. F4C,SC.1, AP. 2,PARTER, SECTOR 3","BUCURESTI","PETRAŞ COZETA"
"strada sării, nr. 11, jud. mureş","STR. SĂRII, NR. 11, JUD. MUREŞ","REGHIN","PETRAŞ ROBERT-CRISTIAN"
"strada calea bucureşti nr. 35, jud. constanţa","str. Calea Bucureşti nr. 35, jud. Constanţa","POARTA ALBĂ","PETRE ION DUMITRU"
"brailei, nr.1, bl.i, sc.3, ap.2","Brailei, Nr.1, Bl.I, Sc.3, Ap.2","GALATI","PETREA CONSTANTIN"
"strada bab novac, nr. 8, ap. 17, jud. cluj","STR. BAB NOVAC, NR. 8, AP. 17, JUD. CLUJ","CLUJ-NAPOCA","PETREAN LIVIA"
"piaţa libertăţii, nr.1","PIAŢA LIBERTĂŢII, Nr.1","GHERLA","PETREAN LIVIA"
"strada tudor vladimirescu nr. 86, bl. r1, sc. b, parter, ap. 1","STR. TUDOR VLADIMIRESCU NR. 86, BL. R1, SC. B, PARTER, AP. 1","HOREZU","PETRESCU ANDREEA-MIHAELA"
"strada 20 decembrie 1989 nr. 9, ap. 33/4","STR. 20 DECEMBRIE 1989 NR. 9, AP. 33/4","LUGOJ","PETRESCU IRINA VERGINICA"
"bulevardul 1 decembrie 1918 nr.3, bl.f17, ap.17, sc. b, parter","BLD.1 DECEMBRIE  1918 Nr.3, Bl.F17, Ap.17, SC. B, PARTER","CONSTANTA","PETRESCU VERONICA"
"strada dimitrie cantemir, nr. 9-11","STR. DIMITRIE CANTEMIR, NR. 9-11","ORADEA","PETRIŞ  AUREL FLORIN"
"strada mareşal alexandru averescu nr. 59, sc. a, parter, ap. 4 ","str. Mareşal Alexandru Averescu nr. 59, sc. A, parter, ap. 4 ","TIMIŞOARA","PETRIŞ DARIA-LĂCRIMIOARA"
"strada andeescu, nr.1, ap. 2, jud.","ARAD, STR. ANDEESCU, NR.1, AP. 2, JUD.ARAD","ARAD","PETRU MARIA"
"strada ioan vidu nr. 2, ap. 2","STR. IOAN VIDU NR. 2, AP. 2","ARAD","PETRU PAULA-MĂDĂLINA"
"strada mihai viteazu nr. 13, ap. 16","STR. MIHAI VITEAZU NR. 13, AP. 16","SATU-MARE","PETRUCA ECATERINA SUSANA"
"strada mihai viteazu, nr. 13, ap. 16","STR. MIHAI VITEAZU, NR. 13, AP. 16","SATU MARE","PETRUCA PAUL"
"strada republicii, bl. 9, parter","STR. REPUBLICII, BL. 9, PARTER","BRAD","PETRUICA  MARIA-CRISTINA"
"strada republicii bl. 9, parter","STR. REPUBLICII BL. 9, PARTER","BRAD","PETRUICA SIMONA-ADRIANA"
"strada nicolae iorga nr. 18a","STR. NICOLAE IORGA NR. 18A","OCNA MUREŞ","PETRUŢA MARIANA"
"maria tanase, nr.3, bl.13, sc.1, ap.6, sectorul 4","Maria Tanase, Nr.3, Bl.13, Sc.1, Ap.6, Sectorul 4","BUCURESTI","PIELEANU DANIELA"
"calea dorobanţi, nr. 172-178, bl. 16, sc.2, ap. 2, sector 1","CALEA DOROBANŢI, NR. 172-178, BL. 16, SC.2, AP. 2, SECTOR 1","BUCUREŞTI","PIGULEA ANA CLARA BIANCA"
"strada dealului, nr.7","STR. DEALULUI, Nr.7","SIBIU","PILOIU DELIA-CORNELIA"
"strada pavel roşca, nr. 4, ap. 9, jud. cluj","STR. PAVEL ROŞCA, NR. 4, AP. 9, JUD. CLUJ","CLUJ-NAPOCA","PINTEA LIGIA-ELENA"
"strada ioan moga nr. 4","STR. IOAN MOGA NR. 4","SĂLIŞTE","PIPERNEA-AVRAM IULIA-OANA"
"strada srg. cc arion, nr. 14, parter, ap. 1, sector 1","STR. SRG. CC ARION, NR. 14, PARTER, AP. 1, SECTOR 1","BUCURESTI","PISANO CLAUDIA ELENA"
"strada docherilor nr. 2","STR. DOCHERILOR NR. 2","CONSTANTA","PIŞTALU ELENA"
"piaţa alba iulia , nr.6, bl.i5, sc.1, et. 4, ap.12, sectorul 3","PIAŢA ALBA IULIA , Nr.6, Bl.I5, Sc.1, et. 4, Ap.12, Sectorul 3","BUCURESTI","PITREL LIDIA"
"dimitrie cantemir, nr.6, ap.1","Dimitrie Cantemir, Nr.6, Ap.1","FOCSANI","PÎRCALABESCU VALENTINA LUCIA"
"calea dorobanti, nr.172-178, bl.16,sc.2, ap.2, sector 1","Calea Dorobanti, Nr.172-178, BL.16,Sc.2, Ap.2, SECTOR 1","BUCURESTI","PÎRŞOAGĂ IUNIA CARMEN"
"strada constantin pritopescu nr. 6","STR. CONSTANTIN PRITOPESCU NR. 6","VOLUNTARI","PLATON CORINA - SANDA"
"cartierul independenţei, bulevardul independenţei nr. 14, bl. b4, parter","CARTIERUL INDEPENDENŢEI, B-DUL INDEPENDENŢEI NR. 14, BL. B4, PARTER","BRAILA","PLĂŞOIANU ALINA MĂDĂLINA"
"bulevardul independentei, nr.3, ap.2","B-DUL INDEPENDENTEI, Nr.3, Ap.2","FOCSANI","PLEŞCAN CHIRIAC"
"strada 20 decembrie 1989, nr. 26","STR. 20 DECEMBRIE 1989, NR. 26","LUGOJ","PLOSCARU OANA-DANIELA"
"piaţa eroilor, nr. 27, bl.a3, ap. 23","PIAŢA EROILOR, Nr. 27, Bl.A3, AP. 23","TÂRGU LĂPUŞ","PODELEANU RADU-AUREL"
